STATUS,MNET_ID,ELEVATION,NAME,SHORTNAME,DISTANCE,SGID,NWSFIREZONE,STID,LONGITUDE,COUNTY,CWA,STATE,NWSZONE,LATITUDE,TIMEZONE,GACC,COUNTRY,ID
ACTIVE,25,5130,PARADISE,SNOTEL,4.97,NW02,SEW659,AFSW1,-121.74765,Lewis,SEW,WA,WA569,46.78265,America/Los_Angeles,NWCC,US,1519
ACTIVE,25,4610,BUMPING RIDGE,SNOTEL,20.73,NW05,OTX680,BMPW1,-121.33058,Yakima,PDT,WA,WA520,46.81003,America/Los_Angeles,NWCC,US,1521
ACTIVE,25,4170,BURNT MOUNTAIN,SNOTEL,15.58,NW02,SEW659,BUSW1,-121.94032,Pierce,SEW,WA,WA569,47.0444,America/Los_Angeles,NWCC,US,1523
ACTIVE,25,5800,CORRAL PASS,SNOTEL,18.17,NW02,SEW659,COPW1,-121.46464,Pierce,SEW,WA,WA569,47.01872,America/Los_Angeles,NWCC,US,1524
ACTIVE,25,3200,COUGAR MOUNTAIN,SNOTEL,29.56,NW02,SEW659,CUMW1,-121.67138,King,SEW,WA,WA568,47.27666,America/Los_Angeles,NWCC,US,1525
ACTIVE,25,5410,MORSE LAKE,SNOTEL,13.79,NW05,OTX680,MRSW1,-121.4827,Yakima,PDT,WA,WA520,46.90585,America/Los_Angeles,NWCC,US,1540
ACTIVE,25,3160,MOWICH,SNOTEL,10.26,NW02,SEW659,MHSW1,-121.95232,Pierce,SEW,WA,WA569,46.92833,America/Los_Angeles,NWCC,US,1544
ACTIVE,25,5800,PIGTAIL PEAK,SNOTEL,24.03,NW02,OTX680,PGPW1,-121.38643,Yakima,PDT,WA,WA520,46.62153,America/Los_Angeles,NWCC,US,1547
ACTIVE,25,4440,WHITE PASS E.S.,SNOTEL,23.32,NW05,OTX680,WHPW1,-121.38153,Yakima,PDT,WA,WA520,46.64142,America/Los_Angeles,NWCC,US,1572
INACTIVE,2,2405,GREENWATER,RAWS,19.77,NW02,SEW659,GWFW1,-121.595556,Pierce,SEW,WA,WA569,47.115556,America/Los_Angeles,NWCC,US,2386
INACTIVE,2,3600,HAGER CREEK,RAWS,21.01,NW02,SEW659,HGFW1,-121.627778,Lewis,SEW,WA,WA569,46.564444,America/Los_Angeles,NWCC,US,2388
ACTIVE,2,2100,KOSMOS,RAWS,30.43,NW02,SEW659,KOSW1,-122.19,Lewis,SEW,WA,WA569,46.523889,America/Los_Angeles,NWCC,US,2401
ACTIVE,2,1637,LESTER,RAWS,27.82,NW02,SEW659,LSFW1,-121.489722,King,SEW,WA,WA568,47.21,America/Los_Angeles,NWCC,US,2405
INACTIVE,36,4308,White Pass Summit,WA DOT,23.16,NW05,SEW659,TWHIT,-121.39,Lewis,SEW,WA,WA569,46.638,America/Los_Angeles,NWCC,US,2566
INACTIVE,37,6240,Chinook Pass,NWAC,11.6,NW02,SEW659,CHPW1,-121.52,Pierce,SEW,WA,WA569,46.87,America/Los_Angeles,NWCC,US,2596
ACTIVE,106,3532,WHITE RIVER RANGER STATION RAINIER NATIONAL PARK AT SUNRISE,HADS,10.48,NW02,SEW659,WHTW1,-121.55444,Pierce,SEW,WA,WA569,46.9025,America/Los_Angeles,NWCC,US,2599
INACTIVE,37,6870,Crystal Mountain,NWAC,15.13,NW02,SEW659,CMTW1,-121.47,Pierce,SEW,WA,WA569,46.94,America/Los_Angeles,NWCC,US,2601
INACTIVE,37,5499,Paradise Mt. Rainier,NWAC,4.69,NW02,SEW659,PVCW1,-121.73,Pierce,SEW,WA,WA569,46.79,America/Los_Angeles,NWCC,US,2604
INACTIVE,40,640,ENUMCLAW 212TH SE,WAAQ,28.29,NW01,SEW657,ENU21,-122.06,King,SEW,WA,WA555,47.21,America/Los_Angeles,NWCC,US,2761
ACTIVE,37,6830,Crystal Summit,NWAC,13.68,NW02,SEW659,CMT69,-121.50043,Pierce,SEW,WA,WA569,46.93505,America/Los_Angeles,NWCC,US,6175
ACTIVE,37,4570,Crystal Base,NWAC,14.66,NW02,SEW659,CMT44,-121.47473,Pierce,SEW,WA,WA569,46.92988,America/Los_Angeles,NWCC,US,6176
INACTIVE,37,4470,White Pass Base,NWAC,23.13,NW02,SEW659,WPS45,-121.39155,Lewis,SEW,WA,WA569,46.63735,America/Los_Angeles,NWCC,US,6177
ACTIVE,37,5800,White Pass Upper,NWAC,24.04,NW02,SEW659,WPS58,-121.38737,Lewis,SEW,WA,WA569,46.62077,America/Los_Angeles,NWCC,US,6178
ACTIVE,37,5400,Paradise,NWAC,4.77,NW02,SEW659,PVC54,-121.7424,Pierce,SEW,WA,WA569,46.78622,America/Los_Angeles,NWCC,US,6179
INACTIVE,37,5561,Chinook Pass,NWAC,11.6,NW02,SEW659,CHP56,-121.52,Pierce,SEW,WA,WA569,46.87,America/Los_Angeles,NWCC,US,6181
ACTIVE,37,6240,Chinook Pass Summit,NWAC,11.72,NW02,SEW659,CHP62,-121.51957,Pierce,SEW,WA,WA569,46.88053,America/Los_Angeles,NWCC,US,6182
ACTIVE,2,1950,OHANAPECOSH,RAWS,12.45,NW02,SEW659,OHAW1,-121.571111,Lewis,SEW,WA,WA569,46.731389,America/Los_Angeles,NWCC,US,6848
INACTIVE,65,636,CW0672 Bonney Lake,APRSWXNET/CWOP,31.08,NW01,SEW657,C0672,-122.1845,Pierce,SEW,WA,WA555,47.2005,America/Los_Angeles,NWCC,US,7955
ACTIVE,65,627,CW1558 Orting,APRSWXNET/CWOP,24.34,NW01,SEW657,C1558,-122.182,Pierce,SEW,WA,WA555,47.0607,America/Los_Angeles,NWCC,US,8835
INACTIVE,65,850,WW7CH Eatonville,APRSWXNET/CWOP,24.03,NW02,SEW657,AR266,-122.27267,Pierce,SEW,WA,WA555,46.866,America/Los_Angeles,NWCC,US,8849
ACTIVE,2,756,ENUMCLAW,RAWS,27.02,NW01,SEW657,ENCW1,-121.963889,King,SEW,WA,WA555,47.220278,America/Los_Angeles,NWCC,US,10161
ACTIVE,40,997,ENUMCLAW MUD MOUNTAIN ROAD,WAAQ,21.39,NW02,SEW659,ENUMU,-121.933,King,SEW,WA,WA569,47.141,America/Los_Angeles,NWCC,US,10333
ACTIVE,37,6410,Sunrise Base,NWAC,7.06,NW02,SEW659,SUN64,-121.64417,Pierce,SEW,WA,WA569,46.91437,America/Los_Angeles,NWCC,US,10363
INACTIVE,35,374,Spanaway,WX4U,30.51,NW01,SEW657,H0106,-122.32,Pierce,SEW,WA,WA509,47.08,America/Los_Angeles,NWCC,US,11611
